Parti,Precision,Recall,F1,Support
ELDR,0.4612037708484409,0.45266903914590745,0.45689655172413796,1405
GUE-NGL,0.6234684260131951,0.7029755579171094,0.6608391608391608,1882
PPE-DE,0.46569421934089683,0.4560846560846561,0.46083934776797647,1890
PSE,0.41333333333333333,0.3772486772486772,0.3944674965421853,1890
Verts-ALE,0.47973381730187536,0.4768490679494889,0.47828709288299154,1663
